00002_03, 6
00003_01, 27
00007_01, 5
00009_01, 17
00015_01, 2
00021_01, 123
00022_04, 169
00023_01, 20
00023_06, 54
00024_06, 40
00026_01, 1
00028_01, 3
00030_01, 123
00030_02, 64
00031_01, 222
00034_02, 30
00034_03, 11
00035_01, 80
00035_06, 6
00037_01, 55
00038_01, 6
00040_01, 28
00041_01, 126
00045_08, 148
00046_01, 4
00047_01, 90
00051_04, 18
00052_01, 112
00054_01, 70
00055_01, 285
00056_01, 2
00057_01, 152
00061_01, 34
00062_01, 19
00067_01, 37
00071_01, 70
00081_04, 1
00082_01, 12
00083_01, 54
00084_01, 17
00085_01, 8
00086_01, 5
00086_02, 36
00093_02, 60
00095_01, 22
00098_09, 106
00098_11, 1
00099_01, 14
00102_01, 40
00103_01, 33
00111_01, 6
00114_01, 243
00115_01, 62
00116_01, 29
00119_01, 3
00120_01, 19
00121_01, 12
00123_01, 3
00124_01, 102
00128_04, 46
00131_04, 105
00134_01, 6
00135_01, 33
00138_01, 21
00165_01, 2
00167_01, 30
00168_01, 26
00169_01, 83
00169_09, 116
00171_01, 14
00175_01, 17
00177_01, 27
00179_01, 12
00180_01, 20
00182_05, 33
00185_02, 2
00186_01, 23
00187_01, 5
00189_01, 3
00191_01, 36
00193_01, 13
00194_01, 26
00196_01, 4
00196_02, -4
00201_01, -2
00206_01, -2
00208_01, 72
00209_01, 72
00209_02, 200
00210_01, 20
00218_01, 54
00224_01, 3
00225_01, 49
00227_01, 4
00228_01, 7
00230_04, 27
00231_05, 36
00233_01, 55
00235_01, 68
00235_02, 6
00237_01, 9
00238_01, 11
00243_01, 10
00245_01, 14
00252_01, 23
00253_01, 8
00254_01, 25
00256_01, 275
00258_01, 12
00259_01, 20
00260_01, 5
00261_01, 71
00264_01, 4
00266_01, 10
00269_01, 4
00272_01, 57
00273_01, 10
00273_06, 2
00274_01, 55
00275_01, 6
00276_01, 72
00280_01, 12
00282_01, 21
00283_01, 406
00284_01, 30
00290_01, 73
00292_01, 160
00293_07, 25
00294_01, 500
00295_01, 33
00312_01, 5
00317_01, 64
00319_01, 45
00323_01, 30
00323_02, 15
00324_01, 48
00327_01, 154
00329_01, 107
00330_01, 475
00334_01, 48
00337_01, 32
00343_01, 85
00344_01, 2
00347_01, 17
00348_01, 34
00349_01, 1
00355_01, 7
00358_01, 1
00360_01, 94
00361_01, 50
00362_01, 42
00363_01, 65
00367_01, 7
00368_01, 3
00369_01, 184
00371_01, 333
00373_02, 190
00376_01, 100
00376_05, 90
00376_06, -2
00377_01, 166
00378_04, 4
00379_01, 23
00380_01, 4
00384_01, 14
00388_01, 28
00400_01, 3
00408_01, 7
00413_01, 16
00415_01, 2
00416_01, 5
00417_01, 4
00418_01, 24
00419_01, 47
00420_01, 47
00421_01, 53
00426_01, 5
00427_01, 68
00432_01, 47
00433_01, 11
00434_01, 15
00437_01, 150
00442_01, 99
00443_01, 2
00443_04, 30
00445_01, 14
