00002_03, 10
00003_01, 7
00004_01, 2
00007_01, 10
00008_01, 6
00009_01, 18
00011_01, 1
00015_01, 12
00021_01, 42
00023_01, 20
00023_02, 1
00024_01, 4
00024_06, 40
00026_01, 2
00030_01, 123
00030_02, -3
00031_01, 213
00034_02, 49
00035_01, 80
00035_04, -30
00035_05, 32
00037_01, 49
00038_01, 5
00040_01, 9
00041_01, 145
00045_08, -1
00046_01, 7
00047_01, 89
00052_01, 1
00054_01, 179
00055_01, 195
00057_01, 249
00061_01, 30
00062_01, 2
00067_01, 38
00069_01, 49
00071_01, 70
00081_01, 34
00082_01, 13
00083_01, 23
00084_01, 16
00085_01, 12
00086_01, 2
00086_02, 42
00093_02, 63
00095_01, 22
00098_09, 389
00099_01, 60
00102_01, 18
00103_01, 39
00111_01, 39
00112_02, 18
00114_01, 72
00115_01, 55
00116_01, 18
00119_01, 5
00120_01, 15
00121_01, 11
00124_01, 5
00128_01, 16
00131_04, 46
00134_01, 6
00135_01, 45
00138_01, 9
00165_01, 22
00167_01, 39
00168_01, 27
00169_01, 237
00171_01, 6
00175_01, 9
00177_01, 28
00179_01, 26
00180_01, 10
00182_01, 49
00185_02, 9
00186_01, 27
00187_01, 86
00189_01, 8
00191_01, 30
00193_01, 6
00194_01, 10
00196_01, 6
00196_02, -5
00201_01, 302
00206_01, 44
00208_01, 38
00209_01, 85
00209_02, 200
00210_01, 17
00224_01, 2
00225_01, 74
00226_01, 73
00227_01, 18
00228_01, 14
00230_04, 22
00231_05, 13
00233_01, 92
00235_01, 68
00235_02, 6
00237_02, 11
00238_01, 4
00243_01, 12
00251_01, 27
00252_01, 11
00253_01, 9
00254_01, 8
00256_01, 246
00258_01, 4
00259_01, 4
00260_01, 5
00261_01, 41
00264_01, 6
00266_01, 2
00269_01, 298
00272_01, 54
00273_01, 8
00274_01, 62
00275_01, 22
00276_01, 63
00280_01, 4
00282_01, 35
00283_01, 446
00283_02, 41
00284_01, 27
00290_01, 74
00292_01, 224
00293_07, 5
00294_01, 500
00294_06, 4
00312_01, 5
00317_01, 66
