EHS08, 89
EHS09, 569
EHS10, -204
EHS100, -11
EHS101, 16
EHS102, 24
EHS103, 21
EHS104, 7
EHS105, -3
EHS106, -12
EHS107, -4
EHS108, -10
EHS11, 912
EHS12, 33
EHS13, 29
EHS14, 15
EHS15, 7
EHS17, 2
EHS20, 11
EHS22, -1
EHS23, 388
EHS24, 63
EHS25, 73
EHS26, -64
EHS30, 21651
EHS37, -1
EHS38, -37
EHS39, 250
EHS41, 22
EHS42, 1
EHS43, 10
EHS44, -7
EHS45, 18
EHS46, 1
EHS47, 1
EHS50, -127
EHS51, 1
EHS52, 11
EHS53, -12
EHS54, 4
EHS56, 1
EHS59, 6
EHS61, -1
EHS65, 19
EHS67, 1
EHS68, 55
EHS69, 58
EHS71, 26
EHS72, 161
EHS73, 86
EHS74, 59.5
EHS75, 13.8571
EHS78, 17
EHS80, 1000
EHS84, 1
EHS85, 1
EHS88, -3
EHS90, -4
EHS94, -14
EHS97, -26
ESC01, -115
ESC02, -352
ESC03, 46
ESC05, -704
ESC06, -442
ESC07, -64
ESC09, -114
ESC10, -25
ESC11, 95
ESC12, -4
ESC14, -104
ESC16, -4
ESC18, 296
ESC20, 48
F3M01, -1633
F3M02, 72
F3M03, 356
F3M04, -350
F3M05, 5
F3M06, 398
F3M07, 74
F3M09, 14
F3M10, -2
F3M11, 3
F3M12, 116
F3M20, -1
F3M22, -4
FCA01, -25
FCA02, -1
FCA03, 2
FCA04, 1
FCA05, 1
FCA06, 10
FCA08, 48
FCA09, 2
FCA12, -8
FCA14, 6
FCA20, -6
FCA21, -28
FCA22, -7
FCA23, -23
FCA24, -56
FCA25, 71
FCA30, 3
FCA31, 9
FCA35, 15
FCA36, 18
FCA38, 50
FCA60, -5
FCA61, 25
FCA62, -2
FCA63, -32
FCA65, 50
FCA66, -14
FCO01, 1324
FCO02, -117
FCO03, -673
FCO04, 28
FCO05, -40
FCO06, 1438
FCO07, 661
FCO08, -60
FCO09, 1390
FCO10, -37
FCO12, -40
FCO20, -100
FCO24, -70
FCO25, 1482
FCO26, 2031
FCO27, 1246
FCO28, 5
FCO29, -36
FJT01, 867
FJT02, -2695
FJT03, -616
FJT04, -651
FJT05, -63
FJT07, -58
FJT08, 179
FJT10, 1
FJT15, -41
FJT16, -11
FJT20, -11
FJT21, 72
FJT35, -2
GUA04, -147
GUA05, 4
GUA06, 78
GUA07, -4
GUA08, 141
GUA09, -224
GUA15, 1
GUA20, 1
GUA27, -439
GUA28, -62
GUA29, -60
GUA35, 108
INS01, -2
INS02, -36
INS03, -17
INS04, -16
INS05, -1
INS10, -72
INS20, 7
INS21, 20
INS22, 4
JAB04, -80
JAB06, -56
JAB07, -212
JAB08, 175
JAB12, -18
JAB20, -349
JAB30, 20.58
JAB31, -2.714
JAB32, 15.2799
JAB34, -6
JAL02, 12
JAL03, -19
JAL04, -27
JAL05, -32
JAL11, -101
JAL12, -231
JAL13, -6
JAL14, 353
JAL16, -45
JAL30, -30
MLV01, 980
MLV04, -5
MLV05, -20
MLV06, -93
MLV08, -9
MLV09, -67
MLV10, -6
MLV11, 16
MLV13, -4
MLV16, -19
MLV31, -7
MLV33, 1
P3M01, 28
P3M02, 1
P3M04, 2
P3M05, 1
P3M06, 8
P3M12, -2
P3M19, 3
P3M21, -2
P3M23, -3
P3M24, 6
P3M26, 1
P3M33, 1
P3M35, -1
P3M36, -1
P3M37, -1
P3M38, -1
PCO02, -170
PCO04, 49
PCO05, -49
PCO07, -78
PCO08, -28
PCO10, -18
PCO11, -1
PCO12, -2
PCO13, -10
PCO14, -9
PCO15, -8
PCO16, -10
PCO17, -47
PCO18, -4
PCO22, 3
PCO23, -1
PCO24, -16
PCO25, -1
PCO27, -3.99988
PCO30, -43
PCO31, -1
PCO33, -7
PCO34, -32
PCO35, -1
PCO37, 31
PCO38, -22
PCO45, -12
PCO46, -2
PCO47, -3
PCO48, -5
PCO60, 6
PCO63, -1
PCO64, -3
PCO65, -2
PCO67, -9
PCO68, -2
PCO70, -2
PCO75, -2
PDE03, 10
PDE05, -1
PDE08, 16
PDE09, -1
PDE10, -32
PDE13, 28.9834
PDE14, -3.1
PDE24, 4
PDE25, -6
PDE28, -2
PDE32, -0.325
PDE34, -0.8
PDE40, -1
PDE41, -9
PDE48, 5
PDE57, -0.4
PDE60, 8
PDE61, 52
PDE75, -5
PHB03, -1028.833
PHB05, -25
PHB07, -34
PHI01, 6
PHI04, -42.0656
PHI06, 7.0432
PHI07, 17
PHI08, -75
PHI11, -18
PHI12, -19
PHI14, -11
PHI18, 28
PHI21, 25
PHI22, 8
PHI26, 11
PHI27, -79
PHI28, -355
PHI29, -10
PHI30, -2
PHS01, -76.4161
PHS03, -32.3332
PHS05, 61.5006
PHS07, 5
PLX01, -16
PLX02, -45
PLX03, 12
PLX04, -96
PLX05, -90
PLX06, -33
PLX07, 11
PLX09, 50
PLX10, -4
PLX12, -13
PLX15, -190
PLX19, -24
PLX20, -14
PLX21, -17
PLX24, -6
PLX26, 22
PQM01, 20
PQM02, -136
PQM03, -40
PQM05, -9
PQM08, 8
PQM09, 37
PQM10, -1
PQM101, 8
PQM13, -305
PQM14, 13
PQM15, -24
PQM16, -10
PQM17, 24
PQM19, -4
PQM20, -12
PQM21, -1200
PQM22, -624
PQM24, -9
PQM25, 10
PQM27, 7
PQM28, -4
PQM34, -36
PQM35, -53
PQM36, -60
PQM37, -4
PQM40, 2
PQM41, -24
PQM42, 264
PQM43, 36
PQM44, -1
PQM45, -35
PQM46, 29
