STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,,
,2,18,16,2016-07-29,ACEITE DE PINO GENERICO,,Limpieza ,SG, $36.00 
,10,24,16,2016-07-29,AROMATIZANTE WIESE 400 ML VARIOS AROMAS,,Limpieza ,SG, $240.00 
,1,21,16,2016-07-29,AXION LIQUIDO LAVA TRASTES 750 ML,,Limpieza ,SG, $21.00 
,2,18.97,16,2016-07-29,AXION POLVO LAVA TRASTES 900 GRS,,Limpieza ,SG, $37.94 
,6,22,16,2016-07-29,BOLSA NEGRA 70 X 90,,Limpieza ,SG, $132.00 
,6,22,16,2016-07-29,BOLSA NEGRA 90 X 120,,Limpieza ,SG, $132.00 
,5,18,16,2016-07-29,CLORO GENERICO,,Limpieza ,SG, $90.00 
,2,11.5,16,2016-07-29,FIBRA P-94 VERDE SCOTCH BRITE PZA,,Limpieza ,SG, $23.00 
,6,7.7,16,2016-07-29,FRANELA BLANCA METRO,,Limpieza ,SG, $46.20 
,1,28,16,2016-07-29,GUANTE MARCA ADEX NO. 9 ,,Limpieza ,SG, $28.00 
,5,153,16,2016-07-29,HIG. 700527 180 MTS TORK C/12 ROLLOS,,Limpieza ,SG, $765.00 
,10,44,16,2016-07-29,LIMPIADOR BLEM PLEDGE,,Limpieza ,SG, $440.00 
,10,22,16,2016-07-29,LIMPIADOR MULTIUSOS GENERICO,,Limpieza ,SG, $220.00 
,20,4.3,16,2016-07-29,PASTILLA 70GMS WIESE PZA,,Limpieza ,SG, $86.00 
,10,124,16,2016-07-29,TOALLA 700444 INTER TORK BLANCA C/2000,,Limpieza ,SG," $1,240.00 "
,1,25.5,16,2016-07-29,TRAPEADOR ALGODON BLANCO MANGO NAGURAL,,Limpieza ,SG, $25.50 
,4,0,0,2016-07-29,LLAVE PARA DESPACHADOR DE PAPEL HIGIENICO,,Limpieza ,SG, $-   
,,,,,,,,,
,,,,,,,,SUBOTOTAL," $3,562.64 "
,,,,,,,,TOTAL," $4,132.66 "
,,,,,,,,,
