ID,CANTIDAD,CB,LOTE
01509_01,2,7503001007090,S5675
00786_01,10,3393370037415,HA9V
00114_01,10,7501057005732,AA9419
01483_01,1,7501672602958,183
00700_01,25,780083140595,16140828
00775_01,11,7501088505485,AEL721
00259_01,3,7501109900503,AC6769
00501_01,8,7502003388053,5433
01238_01,5,7501043111959,UM0257
01482_01,4,7501471853315,128229
00665_02,1,7501672690085,0000746
00031_01,10,7501088509810,afb356
01003_02,4,7501070612856,058FR068
01678_01,1,7501130713868,4507002
01906_01,3,7501836000194,14g040
01003_02,2,7501070612856,058FR068
02876_03,3,7501258206563,151883
00052_01,1,7501446000553,160141
00099_01,15,7501349021037,114n537
02876_03,3,7501258206563,151883
00167_01,4,7501050613965,M720114
02875_01,1,7501471888089,127882
01003_02,2,7501070612856,058FR068
02230_01,2,7501088575396,aem365
01431_03,10,7502009740664,161166
01099_01,1,7501050606585,L047274
02242_01,2,7501314701766,S6A807
00031_01,8,7501088509810,AFB356
,,,
