STOCK ID ,CANTIDAD,codigo de barras,Lote
02553_01,5,7501165006171,510827
02553_01,3,7501165006171,515905
02693_01,5,7502213040116,5H227
01153_02,1,7502211784043,R1507344
00171_01,8,7501050623629,1506192
