STOCK ID ,CANTIDAD,codigo de barras,Lote
00031_01,2,7501088509810,AEK404
00055_01,9,7502211780359,R1511024
00231_05,1,780083144296,15142154
00272_01,2,7502209290105,150427
00294_01,2,785118752590,5C684
00502_01,2,7501298234601,M51845
00523_01,1,7501037950519,558410
00625_04,2,7501559619802,HM029A
00679_01,1,7501108712213,L96795
00699_01,2,780083140588,14143014
00786_01,5,3393370037415,GA3K
01003_02,25,7501070612856,058FR066
01126_01,15,7501328980119,10939
01262_01,1,7501314705542,S5G156
01452_01,3,7503001007250,T5576
01782_02,1,7501098606103,2000312F00
01922_01,2,7501109904143,FBZSN00
02245_01,3,7501109904440,AC2217
02579_01,10,7501165006386,5MXA009
02611_01,1,7502211784180,R1510971
02635_01,1,7501287678034,1481023
02678_17,1,7503000422320,154349
02692_01,14,7502227870532,RVD089
02735_01,1,7501088506871,15F16
02815_01,3,7502009742149,150907
02868_01,3,7502211782483,R1506120
