id,cantidad,codi,lote
00003_01,4,008400000026,5A007
01550_01,6,748499100190,18191
00789_01,15,7501130713158,4501020
00789_01,7,7501130713158,4502011
02801_01,9,7502216792197,15A246
00855_01,1,7501842900884,413005
02692_01,60,7502227870532,RVD084
02796_01,15,7502227871584,RVL056
00511_01,4,7501752512917,13096
00472_01,5,7501075713190,350165
00798_01,1,7501109904457,AA0480
02608_01,15,7501836009661,15C054
02659_01,10,7502227871416,RR047
02833_01,2,7502211780397,r1409668
02773_01,2,7501075713718,440085
00295_04,4,7501125132537,B15Y457
01431_01,6,785120754759,4K2806
00483_01,2,7501165000179,5MXA010
00472_01,3,7501075713190,350165
