STOCK ID ,CANTIDAD,codigo de barras,Lote
01099_01,2,7501050606585,150045
01503_01,3,7501825300120,666G
02807_01,36,7502211784241,R1511033
01011_01,1,7501109901098,AC1497
00884_01,14,7502227872123,RRC049
00069_01,3,7502223112452,14JX12
02736_01,8,7501088507472,15i04
00871_01,2,7501043163057,1507600056
02225_01,20,7501409201096,140299
00786_01,11,3393370037415,ga3k
02631_08,6,7502001165564,15071582
02807_01,2,7502211784241,r1511033
02945_02,8,7503001007076,s5685
01874_01,5,7501573903260,lg1508
01885_03,2,7501573902614,lg1514
01310_01,3,7503006698323,10SEP15/04
01782_02,2,7501098606103,200312F00
00871_01,6,7501043163057,1507600056
02802_01,10,7501573900146,sh1502
00324_01,8,7501082224214,559314
02225_01,20,7501409201096,140299
00053_01,3,7501752514614,15100
02553_01,1,7501165006171,520934
02693_01,10,7502213040116,5j278
02007_01,1,7501037900521,559530
02807_01,19,7502211784241,R1508454
01143_01,2,7501326002912,1503132
00031_01,8,7501088509810,AEL405
02626_01,3,75006464,180035
