stockid,cantidad,cb,lote
00694_02,1,7501123014101,159491
00290_01,12,7501033953507,65001mc
00180_01,2,7896116880543,BS0105N
01450_01,9,7501573900344,SC1623
02807_01,12,7502211784241,r1609474a
00679_03,10,7502216796782,h16j20
00641_01,12,7501089810205,16040098
00467_01,12,785118752347,6h1128
01003_02,18,7501070612856,058FS077V
02770_07,2,7501384506070,1160716
00759_01,1,7501277060030,0944D14
00421_01,10,7501082208160,c514122e
00037_01,3,7501089800060,16080150
00024_01,4,7503001007069,S6597
00194_01,7,7501258205221,30104118
01003_02,3,7501070612856,058FS077V
00024_01,3,7503001007069,S6597
00230_04,1,780083144302,16141053
00011_01,5,7501092701019,11245499
00735_01,10,7501050693806,6ktld31001
02092_01,10,7501573900580,SF1609
00602_03,8,7501287623546,n73249
01678_02,1,7501228300277,N08422
00798_01,8,7501109904457,AC5717
