STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00642_01,1,780083142827,16340581
00502_01,4,7501298234601,M56130
02801_01,30,7502216792197,16a027
00754_01,28,7501201490797,89715
01376_01,10,7501201400659,89505
00896_01,3,7501672690542,2
01510_01,6,1200005200231,517
00463_01,10,7502001165151,16030744
00726_01,5,7501089804013,1520098
02659_03,9,7502001162532,16051143
01928_01,10,7502227871799,rvn076
01180_01,10,7501082212228,C383399A
02790_03,2,7501573904762,SL1516
02242_01,2,7501314701766,S6E355
02674_10,2,7501493867130,CLU00616
01506_01,3,8400000170,5I027
02914_01,3,8430308012658,3K
01482_01,2,7501471853315,128229
00034_02,4,7730979095907,22189
02781_01,3,7503001007137,S6215
01437_06,4,75049737,16051103
