stockid,cantidad,cb,lote
00779_01,1,7502009744976,160522
02630_01,6,7501573900405,SF1634
02711_01,10,7501298213569,M62939
02872_01,8,7501298204970,M62405
02635_01,5,7501287678034,1601301a
00290_01,10,7501033953507,65001MC
02835_01,6,7502001162013,16051237
01436_01,1,7501326001977,m027798
01885_01,2,7502211788355,r1607115
02618_01,10,7502009741784,162693
00735_01,20,7501050693806,6ktld31001
01641_01,10,7502009744440,164647
02615_01,1,7502009741296,161819
00592_03,2,7501384503048,7170516
02615_01,7,7502009741296,161819
02770_07,3,7501384506070,1160716
01452_01,1,7503001007250,T6490
01912_02,1,7502211780373,R1510852
02618_01,10,7502009741784,162693
00218_01,10,7501825300373,773J
02876_01,18,7502213040031,6d090
02591_02,3,7501092793038,11238215
00467_01,6,785118752347,6h1128
02618_01,8,7502009741784,162693
02770_07,3,7501384506070,1160716
01503_01,10,7501825300120,162j
00327_01,10,7501122963028,162729
02876_01,10,7502213040031,6D090
02618_01,6,7502009741784,162693
