ID,CANTIDAD,CB,LOTE
01452_06,6,7502009740763,153254
00055_01,15,7502211780359,r1503613
00679_01,2,7501108712213,l96795
01555_01,2,300090050139,002BB
01506_01,9,008400000170,51027
01885_10,8,7502009740305,152795
01135_01,2,7501298216409,m50143
01855_02,6,7501258205733,151744
00031_01,8,7501088509810,AEL405
00337_01,1,7501033920356,53204mc
02865_05,2,7501573900542,sl1428
01210_01,1,7501098603690,QC5994
00866_01,2,7501043163637,C701482
00055_01,8,7502211780359,R1503613
02807_01,9,7502211784241,R1511033
00553_01,1,7501075713473,420015
