stockid,cantidad,cb,lote
00691_01,1,7502009740299,160219
02092_01,4,7501573900580,sf1609
00111_01,12,7501089804099,16020126
02851_01,2,7501050610704,162729
00135_01,3,7502209290068,1500256
02659_01,6,7502227871416,rr056
00532_01,7,7501409201553,AL201401
02631_06,2,7503003134039,1603940
00810_01,10,7501871720675,78222
00290_01,10,7501033953507,65001mc
03000_01,10,7503007822338,FC70620
00290_01,5,7501033953507,65001mc
02693_04,14,7502213040987,6h206
01678_02,2,7501228300277,n08422
02961_01,2,7501303473117,wem3jl
00055_01,3,7502211780359,1605880
00682_01,2,7501303451603,wem669
00290_01,2,7501033953507,65001mc
00209_01,8,7501125198045,N16A060
00111_01,9,7501089804099,16020126
00135_01,2,7502209290068,1500256
00467_01,2,785118752347,6H1128
00135_01,1,7502209290068,1500256
02691_01,5,7502211780045,R1607201
02691_01,10,7502211780045,R1607143
02611_01,3,7502211784180,R1610572
00467_01,2,785118752347,6H1128
01488_06,1,7502009745126,162507
00171_01,2,7501050623629,L049882
00024_01,1,7503001007069,S6350
02611_01,5,7502211784180,R1610572
02568_01,12,780083141578,16341805
00128_04,10,7501349025073,I16Y368
01509_01,5,7503001007090,s6505
02611_01,2,7502211784180,r1610572
00171_01,1,7501050623629,l049882
00180_01,1,7896116880543,BS0105N
01263_01,1,7501303437003,XB30DXBA
01881_01,20,7502223112223,16GT28
00111_01,3,7501089804099,16020126
02281_01,2,7501098605755,72939
01335_01,5,7501298216201,18581
01641_01,1,7502009744440,164647
00111_01,1,7501089804099,16020126
02691_01,10,7502211780045,R1607143
01922_01,7,7501109904143,FJZSJ00
00218_01,4,7501825300373,773J
00610_01,6,7501072340665,6H197NA
00712_07,15,7503004908691,1607164
02691_01,12,7502211780045,R1607201
00024_01,1,7503001007069,S6597
