id,cantidad,codigo de barras,lote
02861_01,18,7501123013302,127644
00026_01,4,7501123012107,3j0264
00840_01,2,7501836000927,15G021
02591_02,6,7501092793038,11159160
00463_02,2,7501125102288,n14u032
02591_02,6,7501092793038,11154156
00067_01,1,7501122961017,124476
02741_01,1,7501303457513,43581b
02652_01,10,7502003388107,5622
00538_01,6,300098416630,f6602r
02791_01,1,7501752514928,13050
02791_01,3,7501752514928,15045
01210_01,3,7501098603690,qc5994
02671_01,4,8430308010258,431261
02671_01,2,8430308010258,514311
02626_01,4,75006464,180035
00293_06,3,7506022315038,5060231EH
00293_01,2,785120754797,5c709
01724_01,2,7502009744587,151107
02855_01,2,656599040486,es14mrg03
