id,cantidad,codi,lote
00712_06,37,7501573900450,sb1569
00810_01,15,7501871720675,76371
02649_01,10,7501293200335,15G0035
00694_01,15,7501300408204,409706
00627_01,2,7501672600343,4040789
00648_01,5,3499320001595,3015006
02678_01,10,7501842900099,501022
00884_01,10,7502227872123,RCN046
00884_01,10,7502227872123,RCN043
