id,cantidad,codigo de barras,lote
01029_01,2,7501123014743,4J0220
01437_03,4,7503000997644,15030302
00055_01,1,7502211780359,R1506181
01885_09,5,7502211780915,R1503693
00779_01,2,7502009744976,151625
01135_01,3,7501298216409,M50127
02780_01,6,7501825302773,955E
00866_01,2,7501043163637,C681558
00526_01,1,7501088606304,15B26P
00526_01,2,7501088606304,13B051
01555_01,4,300090050139,Z596C
00866_01,1,7501043163637,C681558
01143_01,2,7501326002912,1503132
02225_01,5,7501409201096,AW201404
00124_01,5,7501287678171,1500311A
00420_01,1,7501082208733,C381951D
01029_01,1,7501123014743,4J0220
00031_01,3,7501088509810,AEH303
01135_01,3,7501298216409,M50127
00786_01,2,3393370037415,CF2M
01033_01,2,7501094913809,H7127
02225_01,3,7501409201096,AW201404
00031_01,1,7501088509810,AEH303
01885_09,5,7502211780915,R1503693
02677_01,4,7501088607950,33LK
01885_09,3,7502211780915,R1503693
02780_01,4,7501825302773,955E
01003_02,10,7501070612856,058DR064
02468_01,2,3393370037385,F3644
00786_01,6,3393370037415,TX8T
00467_01,5,785118752347,5D1117
