STOCK ID ,CANTIDAD,codigo de barras,Lote
00031_01,6,7501088509810,AEK404
00093_02,2,7501573904151,SF1524
00124_01,1,7501287678171,1500301A
00180_01,4,7896116880543,B5018LJ
00180_01,1,7896116880543,BS015PF
00256_01,2,7501871720767,97821
00256_01,1,7501871720767,97889
00290_01,3,7501033953507,54002MC
00467_01,10,785118752347,5D925
00494_01,2,7501049721145,BG201401
00641_01,7,7501089810205,15030097
00682_01,2,7501303451603,WEK85R
00682_01,4,7501303451603,WEL5D9
00778_01,3,7502009744433,152073
00782_02,1,7501098606127,3001042D00
00786_01,20,3393370037415,GA3K
00899_01,5,7703331157506,51498A
00899_01,5,7703331157506,51485A
01008_01,5,7501098621175,FC0175
01029_01,1,7501123014743,5C0025
01135_01,1,7501298216409,M50147
01135_01,2,7501298216409,M50135
01375_01,3,7501303451559,52228A
01436_01,2,7501326001977,1507081
01492_01,5,7501871720606,21186
01555_01,1,300090050139,003BH
01641_01,12,7502009744440,143048
01678_01,5,7501130713868,4504158
01885_01,25,7502211788355,R1504662
02307_01,1,7501300408556,00157
02468_01,2,3393370037385,FH8K
02468_01,4,3393370037385,F3644
02691_01,20,7502211780045,R1508453
02875_01,2,7501471888089,127091
