ID,CANTIDAD,CB,LOTE
00884_04,2,7501277092314,2790L15
01867_02,4,785120754131,5k2622
00499_01,3,7501109790029,15m179
01885_10,19,7502009740305,152795
02007_01,1,7501037900521,559530
