ID,CANTIDAD,CB,LOTE
01754_01,3,7891106904353,BB10JF4
00467_01,6,785118752347,6C368
01492_01,9,7501871720606,22558
02657_01,4,7501258207584,160846
00095_06,10,7503007704085,K003
00231_05,10,780083144296,16141039
00319_01,2,7501050611053,m003265
00534_01,2,7503004908714,1604069
02657_01,4,7501258207584,160846
02245_01,5,7501109904440,AE9165
00095_06,8,7503007704085,k003
02657_01,2,7501258207584,160846
00256_01,4,7501871720767,98698
00319_01,1,7501050611053,M003265
00885_01,7,7501258205870,160461
02677_01,6,7501088607950,257153F
02741_01,3,7501303457513,5A265A
00842_01,1,7501108762942,100882
01262_01,2,7501314705542,S6D279
01912_02,5,7502211780373,R1603589
00388_01,5,7501072300102,5V6892
00260_01,3,300090760045,N23233
01263_01,8,7501303437003,XB30DXBA
00794_01,4,7501082212150,655747
02801_01,4,7502216792197,16D011
00421_01,4,7501082208160,C514122E
02919_01,4,7501165006331,6F2883B
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
00067_01,1,7.50E+12,139148
