ID,CANTIDAD,CB,LOTE
00510_01,3,7501390911226,604085
00111_01,3,7501089804099,1510026
00510_01,2,7501390911226,604085
00165_01,3,7501094911126,K1198
00055_01,7,7502211780359,R1603685
02807_01,3,7502211784241,R1602499
02565_07,6,7501349021365,Q036163
00165_01,3,7501094911126,k1198
00038_01,1,7501089800664,16010131
00138_01,2,7501303443530,xb30cc7
00111_01,2,7501089804099,1510026
02736_01,2,7501088507472,16a21
01660_01,2,7501050613422,1505398
00276_01,1,7501050611404,1505904
02564_06,3,7502226292175,0416040
01912_02,2,7502211780373,r1603589
01482_01,5,7501471853315,128229
01886_06,25,7501573905417,LD1601
00624_01,2,3499320001359,5058114
00206_01,5,7501298204987,m54842
00264_01,3,7501033920325,58012mc
01126_01,1,7501328980119,10960
00759_01,1,7501277060030,944D14
02815_01,9,7502009742149,155301
01508_01,4,7501349027923,c16e559
01375_01,2,7501303451559,53241A
00842_01,2,7501108762942,100050
00111_01,2,7501089804099,1510026
00284_01,6,300093644045,AE1838
00727_01,1,7501089804310,16030104
02615_01,4,7502009741296,161671
#N/A,,,
