ID,CANTIDAD,CB,LOTE,
00884_01,10,7502227872123,RRC051,
00496_01,5,7501573900320,SK1547,
01754_01,10,7891106904353,BB10GZP,
02553_01,20,7501165006171,520937,
00256_01,1,7501871720767,98215,
02615_01,1,7502009741296,153930,
02023_01,1,7501088507755,649,
02607_05,3,780083141585,16140212,
02843_01,3,7502227870716,RVY002,
00012_01,3,7501092708032,11029628,
00789_01,4,7501130713158,4511006,
00899_01,12,7703331157506,51308B,
