STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00415_01,1,008400000729,3J078
00415_01,1,008400000729,5E0099
00415_01,1,008400000729,4J023
00789_01,2,7501130713158,4601099
00373_06,2,7501573900733,SC1647
02604_03,10,7501125102370,15t211
01438_01,1,7502223111202,15HU09
01656_01,3,7501871721023,75953
02847_01,4,7502211783787,R1512238
02579_01,10,7501165006386,5MXA013
01858_01,33,7501258208499,160487
00210_01,11,7501082212297,560658
00669_01,4,7501384504946,6101115
02882_03,2,7502241942048,163242
02843_01,2,7502227870716,RVY002
00469_01,2,7501088507670,AEM407
