id,cantidad,codigo de barras,lote
02618_01,3,7502009741784,150198
00055_01,5,7502211780359,R1506181
00124_01,8,7501287678171,1500311A
01143_01,2,7501326002912,1503132
00779_01,4,7502009744976,151625
02919_01,5,7501165006331,3f525a
00031_01,8,7501088509810,AEH303
01885_09,20,7502211780915,R1502533
00779_01,3,7502009744976,151625
02807_01,1,7502211784241,R1507290
00055_01,10,7502211780359,R1506181
00258_01,1,7501165006683,5MXA017
00258_01,1,7501165006683,5MXA020
01885_09,11,7502211780915,R1502533
01029_01,2,7501123014743,4J0220
01135_01,4,7501298216409,M50127
01885_09,10,7502211780915,R1502533
02657_01,5,7501258207584,151169
00031_01,9,7501088509810,AEH303
00055_01,4,7502211780359,R1506181
01135_01,3,7501298216409,M50127
,,,
