ID,CANTIDAD,CB,LOTE,
00727_01,4,7501089804310,16040059,
00266_01,1,7501070903411,11603237,
01029_01,1,7501123014743,5h0126,
00024_01,5,7503001007069,s6242,
02791_01,1,7501752514928,15045,
00496_01,11,7501573900320,sc1630,
02230_01,5,7501088575396,AEM365,
02803_03,4,7501537163266,6010003,
01483_01,2,7501672602958,183,
02230_01,1,7501088575396,AFD345,
00259_01,2,7501109900503,ac6769,
00501_01,7,7502003388053,5433,
01724_01,2,7502009744587,151107,
00727_01,4,7501089804310,16040059,
01509_01,3,7503001007090,s6192,
03000_01,8,7503007822338,fc70188,
02876_01,13,7502213040031,5k295,
01852_01,1,7502009740497,153865,
00167_01,2,7501050613965,M8020124,
00885_01,3,7501258205870,151458,
01754_01,10,7891106904353,BB10JF4,
00111_01,9,7501089804099,15090162,
02242_01,2,7501314701766,S6C114,
00024_01,2,7503001007069,S6242,
01377_01,4,7501165001619,5F101A,
01754_01,10,7891106904353,bb10jf4,
00256_01,15,7501871720767,98550,
01492_01,14,7501871720606,22275,
00624_01,1,3499320001359,5058113,
01874_01,10,7501573903260,LD1610,
00885_01,2,7501258205870,151458,
00280_01,5,7501258200028,160198,
02631_06,2,7503003134039,1506485,
00373_06,3,7501573900733,sc1647,
01099_01,2,7501050606585,1505856,
00169_01,7,7502208891891,508074,
00442_01,20,7501122969808,135138,
00193_01,1,7501033957505,56114mc,
00910_01,2,7501326008402,m007335,
00561_01,2,7501037946246,654994,
02663_01,2,7501573900023,sd1621,
02576_01,8,7501871720552,98622,
00023_02,5,7501277060177,1970112,
02578_01,1,7501871721160,76447,
00024_01,2,7503001007069,s6242,
01258_01,2,7501123011704,136575,
02872_01,2,7501298204970,M54838,
00115_01,2,3499320001335,5022145,
00290_01,11,7501033953507,61006MC1,
00124_01,8,7501287678171,1502811A,
00735_01,24,7501050693806,5KTLDCW004,
02552_01,10,7501165005563,1000681,
00643_02,2,7503004908042,1509584,
,,,,
00111_01,1,7501089804099,509005G,
