id,cantidad,codigo de barras,lote
02800_01,4,7501672602972,5061073
02802_01,85,7501573900146,SE1428
00798_01,1,7501109904457,AA2243
00472_01,10,7501075713190,350165
00855_01,10,7501842900884,413004
02784_01,1,7501752513204,15023
01724_01,3,7502009744587,151107
00692_01,10,7501075719260,920085
01258_01,8,7501123011704,123355
00657_01,130,7503003738510,150097
02905_01,4,7501108767893,J37717
01431_01,10,785120754759,4K2806
00138_01,1,7501303443530,XB30BBF
02678_01,20,7501842900099,501022
00283_01,8,7502227870259,RRD093
02582_01,4,7502003380149,4578
00292_01,8,7501573934172,SG1514
00775_01,5,7501088505485,AEB723
02678_01,10,7501842900099,501022
02773_01,3,7501075713718,440085
02872_01,10,7501298204970,M50850
