STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00855_01,6,7501842900884,513005
00674_06,2,7501075718911,501096
00789_01,10,7501130713158,4601099
02800_05,4,7501672602989,382
01510_03,2,7503001007113,C6111
00612_01,6,7501088607806,15J06P
00483_01,10,7501165000179,5MXA018
00965_01,21,7501326000888,L046629
00523_01,1,7501037950519,558410
00712_05,10,7501573900443,SD1626
02664_01,40,7503003738879,160360
00327_01,30,7501122963028,680045
00735_01,13,7501050693806,5KTLDES002
02647_01,60,7501573900177,SC1606
00282_01,2,7502216798120,15C091
00282_01,2,7502216798120,15J191
02796_05,40,7502227874202,RRG009
00712_05,30,7501573900443,SD1626
02557_02,3,7501033953354,59054NR
02587_01,5,7501573900115,SL1502
,,,
