stockid,cantidad,cb,lote
02691_01,3,7502211780045,R1607201
00269_09,1,7501563370997,605400
01509_01,3,7503001007090,s6505
00098_09,8,7503001007052,c6479
00712_07,10,7503004908691,1607164
02612_02,1,7502211781905,R1602486
01335_01,2,7501298216201,18581
01509_01,2,7503001007090,S6505
00836_07,4,7501277028924,2353j16
02654_02,1,7640128014867,f0167b05
00610_01,5,7501072340665,6h197na
00218_01,3,7501825300373,773J
00539_01,2,7501287669001,1601531a
01335_01,2,7501298216201,18581
02679_08,1,7501384541170,2090816
02962_01,1,7501088575594,AEM320
00610_01,2,7501072340665,6h197na
00501_01,2,7502003388053,6431
01335_01,1,7501298216201,18581
01335_01,1,7501298216201,18581
00501_01,2,7502003388053,6431
00610_01,2,7501072340665,6H197NA
01335_01,1,7501298216201,18581
00209_01,3,7501125198045,N16A060
00218_01,2,7501825300373,752J
00501_01,1,7502003388053,6431
01508_01,3,7501349027923,c16e559
00348_01,8,7501122900788,w1306
01482_01,1,7501471853315,128229
00260_01,1,300090760045,n23233
02962_01,1,7501088575594,AEK323
02691_01,1,7502211780045,R1607143
