id,cantidad,codigo de barras,lote
00373_02,15,7501349012943,N15M150
00052_01,10,7501446000553,150093
02016_01,2,7501033953279,38469LX06
00608_01,3,7613033033827,42110742C3
00764_01,5,7501049721268,BJ201401
00135_01,4,7502209290068,m116f02
00329_01,6,7506205804847,ZL5B2Q
00847_01,5,7501559610908,BM028A
02630_01,3,7501573900405,SL1450
00499_01,4,7501109790029,4J140
00327_01,5,7501122963028,5B0010
00624_01,1,3499320001359,4058019
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
00754_01,2,7501200000000,84761
00754_01,8,7501200000000,87391
02608_01,2,7501840000000,15C054
00643_04,1,7501080000000,620055
