id,cantidad,codi,lote
02671_01,3,8430308010258,434281
00538_01,4,300098416630,F6602R
02660_01,3,7502001162426,C15050726
02797_01,5,7501537102197,5082176
02797_01,2,7501537102197,5010181
02647_01,90,7501573900177,SB1504
00754_01,32,7501201490797,88164
02659_01,2,7502227871416,RR047
02668_01,3,785118752705,5F1583
03014_01,8,7502005861028,145003
02621_08,5,7502225092479,L15C0284
00810_01,5,7501871720675,76371
00810_01,7,7501871720675,76731
01034_01,1,7501082212174,C248064A
01493_02,3,780083144814,15140794
01897_04,47,7501125193026,U15J022
00330_01,8,7501825300946,026H
02660_01,3,7502001162426,C15050726
02647_01,30,7501573900177,SB1504
02800_01,10,7501672602972,5040660
02802_01,3,7501573900146,SE1428
00310_02,30,7502227871652,RMN207
02837_01,6,7502216796003,15C051
