stockid,cantidad,cb,lote
00030_02,1,7502240450230,160515
02691_01,20,7502211780045,r1607143
01483_01,7,7501672602958,2121
00023_02,15,7501277060177,2630j14
02781_01,6,7503001007137,s6142
02800_01,1,7501672602972,168
00023_02,10,7501277060177,2630j14
02815_01,6,7502009742149,162130
02635_01,4,7501287678034,1601301a
00467_01,10,785118752347,6h1128
00099_01,4,7501349021037,i16a313
00323_01,15,7501109763641,16H093
02770_07,2,7501384506070,1160716
01454_02,10,7503001007199,T6458
01483_01,1,7501672602958,2121
00023_02,6,7501277060177,2630j14
00467_01,5,785118752347,6h1128
00023_02,3,7501277060177,2630j14
01135_01,8,7501298216409,18570
02807_01,8,7502211784241,R1602522
02781_01,4,7503001007137,S6142
01922_01,15,7501109904143,FJZSJ00
02800_01,1,7501672602972,5061074
