ID,CANTIDAD,CB,LOTE
00015_01,1,891671002062,GQE015B
02564_02,2,7501471889475,128643
02845_01,3,7502009743856,160155
00866_01,3,7501043163637,C701482
02635_01,4,7501287678034,1600101A
00373_02,12,7501349012943,N15N084
00256_01,6,7501871720767,98058
01262_01,10,7501314705542,s5j547
00052_01,3,7501446000553,160110
01922_01,7,7501109904143,FDZTW00
00124_01,7,7501287678171,1502801A
02945_02,5,7503001007076,S5562
02677_01,2,7501088607950,250948f
02611_01,10,7502211784180,R1511152
02592_01,5,7501043149921,L5012
02691_01,4,7502211780045,R1512307
02807_01,8,7502211784241,R1512277
00266_01,1,7501070903411,i1603231
02564_02,1,7501471889475,128643
00866_01,12,7501043163637,C701482
00871_01,5,7501043163057,1507600058
00256_01,2,7501871720767,98058
00022_12,2,7502006922018,6A092
,,,
