ID,CANTIDAD,CB,LOTE
01492_01,14,7501871720606,22516
01370_01,3,7501088509902,AEJ387
00323_02,6,7501825301875,309J
00523_01,3,7501037950519,655415
00227_01,5,7501122960317,134167
02965_01,2,301320005011,1610238
00691_01,2,7502009740299,160219
02835_01,10,7502001162013,16051236
00694_01,1,7501300408204,601036
02639_01,4,7501125102806,S16J386
01370_01,4,7501088509902,AEJ387
00523_01,1,7501037950519,655415
02741_01,10,7501303457513,5A265A
02919_01,4,7501165006331,6F2883B
01375_01,12,7501303451559,53241A
02835_01,5,7502001162013,16051236
00679_01,10,7501108712213,M57675
00899_01,15,7703331157506,543680
02553_01,14,7501165006171,535390
00842_01,6,7501108762942,100882
00272_01,4,7502209290105,150630
00443_04,1,7501573920182,sa1640
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
00067_01,1,7.50E+12,139148
