ID,CANTIDAD,CB,LOTE
01897_13,10,7501125167232,U16A058
02414_01,7,7501088589478,4306000018
02919_01,2,7501165006331,6F2883B
00419_01,4,7501082208702,559518
01211_01,2,7503007822154,es6p133
00420_01,4,7501082208733,C455151P
00957_01,1,7501075715910,790036
02652_01,4,7502003388107,5079
02754_01,6,650240015366,5c109
01754_01,20,7891106904353,bb10jf4
03000_01,2,7503007822338,fc70188
02999_01,2,7503007822321,fc70195
00674_06,2,7501075718911,500616
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
00067_01,1,7.50E+12,139148
