STOCK ID ,CANTIDAD,codigo de barras,Lote
00779_01,2,7502009744976,152154
02945_02,2,7503001007076,S5562
00523_01,1,7501037950519,558410
01375_01,2,7501303451559,52235C
01262_01,3,7501314705542,S56156
00114_01,3,7501057005732,AA6930
01377_01,5,7501165001619,4F094A
00786_01,10,3393370037415,GA3K
02876_01,10,7502213040031,5H220
02735_01,3,7501088506871,15F16
00218_01,10,7501825300373,815G
01494_01,1,7501075718706,690065
01494_05,1,7502223112162,15FS11
00641_01,6,7501089810205,15030097
00124_01,3,7501287678171,1501991A
00388_01,2,7501072300102,5V7354
