ID,CANTIDAD,CB,LOTE
02481_01,1,7501088559112,AFH361
02815_01,2,7502009742149,162130
02615_01,4,7502009741296,161020
01509_02,1,7502208891907,511775
02876_01,2,7502213040031,6b042
00114_01,10,7501057005732,ae5528
01886_06,10,7501573905417,le1604
00426_01,4,7501573900122,SD1616
00376_07,25,7501573904687,C1603
00779_05,5,7501349028975,N16U131
00779_05,3,7501349028975,N16U131
01135_01,8,7501298216409,18428
02629_01,2,7501075717914,460076
00899_01,2,7703331157506,543680
00779_05,2,7501349028975,N16U131
00259_01,3,7501109900503,AE7559
01922_01,10,7501109904143,FJZSJ00
01854_01,6,7501842900341,611007
02569_01,4,7502227870150,RRL093
02816_01,1,7501089803221,16070165
01335_01,4,7501298216201,18581
00719_04,2,7501349024281,K16M188
02629_01,2,7501075717914,460076
02615_01,4,7502009741296,161846
01135_01,8,7501298216409,18428
03022_01,1,7501050629201,1215399
02481_01,1,7501088559112,AFG414
