ID,CANTIDAD,CB,LOTE,
03009_01,1,7501092774730,319243,
00871_01,14,7501043163057,1507600056,
00735_01,11,7501050693806,5KTLAW004,
01555_01,5,300090050139,2BB,
01075_01,4,7501092773511,11162040,
03001_01,4,7503007822345,EC70722,
03031_01,7,7501390917099,511390,
00334_01,6,7502009740374,153008,
00008_01,2,7501318635784,BXH4821,
01304_01,1,7501092779278,11129969,
00675_01,3,7501328979564,5MXA012,
,,,,
