stockid,cantidad,cb,lote
00679_03,6,7502216796782,h16j20
02807_01,6,7502211784241,R1602522
01795_01,5,7502209290075,1500255
01135_01,9,7501298216409,18570
00023_02,2,7501277060177,2630j14
02735_01,3,7501088506871,15k23
00376_05,1,7502009740657,162980
01454_02,6,7503001007199,t6458
02692_01,10,7502227870532,rvd010
01436_01,4,7501326001977,m027798
02846_01,7,7503003134701,L1603784
02815_01,1,7502009742149,162130
00169_01,10,7502208891891,609172
01135_01,3,7501298216409,18570
02615_01,2,7502009741296,161819
02807_01,5,7502211784241,R1609474A
02691_01,10,7502211780045,r1607201
01003_02,2,7501070612856,058FS077V
02615_01,2,7502009741296,161819
02615_01,2,7502009741296,161819
01135_01,2,7501298216409,18570
01523_01,6,7501752514218,16131
00022_14,2,7502211788331,R1606059
00102_01,2,7501088507502,AFK330
01905_02,3,7503003134268,1604209
01258_01,3,7501123011704,177435
01905_02,2,7503003134268,1604209
