id,cantidad,codigo de barras,lote
00343_01,20,7501298234809,M54423
00343_01,1,7501298234809,M52439
00098_08,11,7502208892232,509360
00292_01,13,7501573934172,SH1518
01889_03,8,7501573900153,SF1522
02872_01,6,7501298204970,M50850
01499_01,4,7501258203586,151197
02413_01,1,7501088575495,ADL370
02413_01,9,7501088575495,ADL371
00496_01,5,7501573900320,SH1571
02802_01,2,7501573900146,5B1541
00643_02,3,7503004908042,1410055
00643_02,1,7503004908042,1507764
01436_01,2,7501326001977,1507081
02663_01,3,7501573900023,SB1555
00377_01,1,7501258205092,152283
