id,cantidad,codigo de barras,lote
00368_01,1,7501300408228,311619
00815_01,8,7501094910556,t2427
00884_01,6,7502227872123,rrc048
02193_01,2,7501033952784,53213mc
02602_05,2,7501573904847,sf1548
02679_01,9,7502227872246,rl083
00847_01,1,7501559610908,EM021A
02281_01,2,7501098605755,70781
02579_01,7,7501165006386,5mxa007
00810_01,4,7501871720675,75773
00228_01,1,7501109904174,AA9942
