ID,CANTIDAD,CB,LOTE
00290_01,4,7501033953507,62016MC
01509_02,6,7502208891907,511775
02677_01,3,7501088607950,257153F
00779_01,5,7502009744976,160522
00187_04,1,7501125159350,15Y073
01503_01,3,7501825300120,162J
00282_01,2,7502216798120,15C091
00280_01,5,7501258200028,160778
00779_01,5,7502009744976,160522
01503_01,4,7501825300120,162j
00384_01,1,785118752828,4H1982
00433_01,2,7501303435504,yy00ty3
01304_01,1,7501092779278,11218837
00131_04,6,7501573900535,sg1615
00719_04,3,7501349024281,K16M188
00425_01,10,7501752514119,15111
01678_01,6,7501130713868,4606040
00187_04,1,7501125159350,15y073
00384_01,1,785118752828,4A10
