ID,CANTIDAD,CB,LOTE
00886_01,24,7501287660312,1504041a
00546_04,1,7501563310399,601370
00866_01,19,7501043163637,c737312
00124_01,3,7501287678171,1502801a
01885_09,2,7502211780915,R1511112
03018_01,3,7506358100001,1031987
00290_01,5,7501033953507,61006mc1
00124_01,1,7501287678171,1502801a
00330_01,3,7501825300946,923h
02639_01,4,7501125102806,s15n065
00290_01,7,7501033953507,61006mc1
00330_01,1,7501825300946,923h
01886_06,30,7501573905417,lc1624
01436_01,10,7501326001977,m004360
,,,
