ID,CANTIDAD,CB,LOTE
02808_01,3,7501109763436,16d133
02963_01,2,7501070903619,s1604354
01003_02,15,7501070612856,058CS075
01004_01,1,7501046457672,505213
00258_01,4,7501165006683,6MXA012
02696_01,1,7502213040505,6D087
00323_02,2,7501825301875,309j
02691_08,10,7503001007663,lc1622
00885_01,5,7501258205870,160461
02807_01,20,7502211784241,r1602522
00786_01,4,3393370037415,M375
00885_01,1,7501258205870,151458
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
00067_01,1,7.5E+12,139148
