id,cantidad,codigo de barras,lote
02885_12,2,7502261160385,50684a
02885_01,1,7501573900955,sh1567
02772_01,1,7501258206723,150742
02565_07,1,7501349021365,Q075464
02579_01,1,7501165006386,5MXA010
02652_01,1,7502003388107,5380
00131_04,1,7501573900535,SD1504
01503_01,1,7501825300120,666G
00261_01,1,300093116016,5F0216
00633_03,3,785118952327,5C826
00361_01,13,7501573900191,SC1542
01210_01,9,7501098603690,QC5994
01258_01,2,7501123011704,123355
00689_01,3,7501537102395,401068
00699_01,4,780083140588,14140508
02649_01,13,7501293200335,15G0035
01552_01,4,3499320001946,5074118
00327_01,18,7501122963028,5D0065
00707_01,2,7501349022201,I15A756
01893_01,6,721734682019,TH68201
02851_01,9,7501050610704,1502946
00694_01,15,7501300408204,508386
00496_19,20,7501672690283,5030624
01075_01,1,7501092773511,11049911
01454_02,2,7503001007199,t5317
00494_01,2,7501049721145,bg201401
