STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
02844_01,5,7501573904212,SC1620
00120_01,10,7501043110853,15G003
00282_01,2,7502216798120,15J191
01881_01,2,7502223112223,16AM29
02593_04,50,7501573902850,SC1618
00168_01,5,7501050615112,M660112
00612_01,10,7501088607806,15L09L
02914_01,3K,8430308012658,02914_01 
01656_01,2,7501871721023,77848
00615_01,1,7501871720507,98105
02965_01,2,301320005011,1610232
00657_21,4,7502240450636,160173
01510_01,3,1200005200231,0517
00680_01,3,7501094910457,R04141A
02193_01,4,7501033952784,60233MC
00093_02,5,7501573904151,SA1624
02840_01,6,7501188801227,136439
02865_05,10,7501573900542,SE1618
