STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
01920_08,5,7503000422283,153404
02847_01,12,7502211783787,R1502411
02801_01,6,7502216792197,15F082
01656_01,5,7501871721023,75953
00319_01,1,7501050611053,1504661
02914_01,1,8430308012658,3J
02587_01,6,7501573900115,SL1502
02802_01,30,7501573900146,SJ1235
00804_01,2,7501082212167,S57161
00880_01,1,7501088618109,246807F
02601_01,3,7501109904792,AE1949
