STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
01490_10,3,7501125193446,K15S714
00294_06,4,7502216795044,15K132
00330_01,10,7501825300946,626H
02587_01,10,7501573900115,SL1502
00924_02,8,780083140526,16140718
00334_05,2,7502001163478,14121983
00187_01,1,7501559604525,W43701
