id,cantidad,codi,lote
02872_01,15,7501298204970,M50850
00296_02,90,7501070615277,472FR909
01431_01,5,785120754759,4K2806
02504_04,2,7501559610205,LH035A
02630_01,26,7501573900405,SG1521
00657_01,40,7503003738510,150097
02504_04,2,7501559610205,LH035A
00599_01,4,7501125154515,N14Y124
00815_01,2,7501094910556,T2648
02834_01,14,7502211784005,R1410842
00675_01,9,7501328979564,4mxa004
02905_01,1,7501108767893,J37717
01034_01,1,7501082212174,C248064A
01034_01,2,7501082212174,C335580A
00674_10,13,7501672602934,27
02608_01,12,7501836009661,15C054
00657_01,12,7503003738510,150097
02621_08,1,7502225092479,L15C0284
00131_04,14,7501573900535,SD1504
