ID,CANTIDAD,CB,LOTE
02807_01,2,7502211784241,R1511033
02564_02,2,7501471889475,128636
01885_10,6,7502009740305,152795
01885_03,2,7501573902614,LH1501
01143_03,2,7501349024113,n15u099
00055_01,1,7502211780359,r1503613
02019_01,6,8717405012423,51470346hb
01867_02,3,785120754131,5k2622
01854_01,10,7501842900341,511013
00700_01,2,780083140595,15142669
00539_01,3,7501287669001,1503491a
01263_01,10,7501303437003,XB30D5BB
00467_01,4,785118752347,5J367
00021_01,1,7501165001800,5MXA008
02876_01,4,7502213040031,5G178
01855_02,4,7501258205733,151744
02481_01,3,7501088559112,AEM333
01885_10,10,7502009740305,152795
00735_01,30,7501050693806,5KTLDCC001
00323_01,2,7501109763641,15K118
02923_01,4,7501088619700,59116
02876_01,3,7502213040031,5G178
00469_01,4,7501088507670,EG333
02919_01,5,7501165006331,5f1871a
01885_10,4,7502009740305,152795
00253_01,1,7501109904167,AA8116
00494_01,5,7501049721145,bg201401
00031_01,2,7501088509810,ael405
02481_01,3,7501088559112,AEM333
02781_01,1,7503001007137,s5709
00167_01,3,7501050613965,M520112
00259_01,2,7501109900503,AA7995
00373_06,12,7501573900733,SJ1547
00023_01,5,7502003380538,5471
00031_01,2,7501088509810,AEL405
00735_01,9,7501050693806,5KTLDCC001
00023_01,15,7502003380538,5471
01033_01,2,7501094913809,H7322
01033_01,2,7501094913809,H7320
02635_01,6,7501287678034,1481027
00167_01,4,7501050613965,M520112
01033_01,1,7501094913809,H7319
00510_01,7,7501390911226,50926
00124_01,10,7501287678171,1501991a
