id,cantidad,codi,lote
02582_01,2,7502003380149,4578
02838_01,4,7501471887969,118259
02016_01,2,7501033953279,38469LX03
00764_01,3,7501049721268,BJ201401
00024_01,2,7503001007069,S5389
01852_01,1,7502009740497,150537
02693_01,1,7502213040116,4M313
00976_01,1,656599041216,151018
