STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00228_01,2,7501109904174,AE5485
00344_01,1,7501089801159,16010129
00253_01,2,7501109904167,AC5048
00998_01,2,7501094914493,F0031
02964_01,1,7501293201219,16B0013
