STOCK ID ,CANTIDAD,codigo de barras,Lote
00024_01,2,7503001007069,S5723
00186_01,1,7501037905588,503901
00499_01,2,7501109790029,4J140
00679_01,7,7501108712213,L969795
00719_02,5,7501554605539,w42831
00885_01,2,7501258205870,151034
00885_01,1,7501258205870,1514258
01008_01,9,7501098621175,FC0175
01011_01,3,7501109901098,AC1497
01135_01,6,7501298216409,M50145
01262_01,5,7501314705542,S56156
01492_01,8,7501871720606,21186
01503_01,3,7501825300120,666G
02251_01,1,7501201401663,88026
02564_02,5,7501471889475,127373
02821_04,1,7501559613831,JH031
00128_05,4,7501125191824,I14T492
