id,cantidad,codi,lote
00179_01,2,7501072350220,5SC91
02775_01,30,7501836000071,15G059
00886_01,12,7501287660312,1429003
02659_01,4,7502227871416,RR047
02802_01,7,7501573900146,SE1428
02621_08,10,7502225092479,L15C0284
01550_01,4,748499100190,018191
02797_01,10,7501537102197,5082176
02281_01,3,7501098605755,70533
00008_01,2,7501318635784,BXH2E21
00008_01,7,7501318635784,BXH1V71
02794_01,1,7502213040024,5C065
00295_04,10,7501125132537,B15Y457
02784_01,10,7501752513204,15013
00004_01,4,7501070902384,S1410558
01550_01,4,748499100190,018191
00804_01,2,7501082212167,C199373D
01075_01,6,7501092773511,11018844
