id,cantidad,codigo de barras,lote
00674_10,2,7501670000000,27
01479_01,15,?7501349018273,U155084
01945_01,2,7501080000000,650055
00102_01,2,7501090000000,AEG357
00924_01,15,7501570000000,SF1508
00165_01,12,7501090000000,K1119
02635_01,15,7501290000000,1481027
00231_05,3,780083000000,15141142
03044_01,13,785119000000,5J2236
00310_06,5,7501830000000,908G
02654_01,1,7501010000000,FO148B043
02553_01,10,7501170000000,520934
02845_01,2,7502010000000,150427
02601_01,6,7501110000000,AA0024
00687_03,20,7501130000000,115M70
00038_01,6,7501090000000,15070073
00699_01,5,780083000000,14143014
00884_01,13,7502230000000,RRC049
02808_01,2,7501110000000,15K130
00727_01,1,7501090000000,14060158
02281_01,1,7501100000000,71890
01424_01,2,7501570000000,SA1505
02591_02,7,7501090000000,11159160
00098_08,6,7502210000000,506768
02945_02,8,7503000000000,S5685
00069_01,2,7502220000000,15JX41
02843_01,4,7502230000000,RVY002
00612_01,10,7501090000000,15F16C
00687_03,18,7501130000000,I15M701
00628_11,6,7502220000000,15A159
00674_10,1,7501670000000,308
02663_01,1,7501570000000,SB1555
02625_01,11,7501080000000,360035
02591_02,9,7501090000000,11159160
03014_01,3,7502010000000,1308085
00310_06,4,7501830000000,908G
01479_01,2,7501350000000,U155S084
02591_02,5,7501090000000,11159160
00628_11,6,7502220000000,15A159
00114_01,10,7501060000000,AA9419
01304_01,50,7501090000000,11129969
02773_01,8,7501080000000,440145
