ID,CANTIDAD,CB,LOTE,,
00023_01,10,7502003380538,5627,,
00138_01,2,7501303443530,XB30CC7,,
01503_01,4,7501825300120,9889,,
00218_01,1,7501825300373,610h,,
03009_01,7,7501092774730,319243,,
00786_01,6,3393370037415,ha9v,,
00866_01,4,7501043163637,C699345,,
00259_01,1,7501109900503,ac6770,,
00362_01,1,7501314702640,S5J530,,
01855_02,6,7501258205733,160170,,
00971_01,1,7501088507007,aej403,,
00553_01,2,7501075713473,420055,,
00167_01,3,7501050613965,M720114,,
00691_01,3,7502009740299,154534,,
02242_01,1,7501314701766,s6a807,,
00719_02,3,7501559605539,w42831,,
02615_01,1,7502009741296,161020,,
