id,cantidad,codigo de barras,lote
00169_01,7,7502208891891,507888
02797_01,4,7501537102197,5082176
00169_01,7,7502208891891,505700
02797_01,3,7501537102197,5082176
02775_01,20,7501836000071,15g059
00252_01,10,7501298205021,M51470
00008_01,1,7501318635784,bxh1v71
00726_01,6,7501089804013,14080010
00116_01,5,3499320001328,4021267
00463_02,8,7501125102288,n14u032
00343_01,5,7501298234809,M52439
00343_01,15,7501298234809,M52440
02838_01,1,7501471887969,118258
02838_01,1,7501471887969,118259
02602_05,18,7501573904847,sf1548
00938_01,10,7501298234700,m51221
