id,cantidad,codi,lote
01341_01,40,7501250813530,50489
00910_01,72,7501326008402,1506145
01431_03,1,7502009740664,152556
00363_01,4,7501314702657,S5d784
02885_01,7,7501573900955,SF1509
02772_01,3,7501258206723,150697
02193_01,4,7501033952784,53213MC
02657_01,1,7501258207584,151169
02789_01,1,7501123013807,117560
01431_03,2,7502009740664,152556
