StockID,CANTIDAD,codigo de barras,Lote
01754_01,2,7891106904353,BB10HVA
01003_02,3,7501070612856,058DR064
01641_01,9,7502009744440,143048
02741_01,5,7501303457513,51256C
02023_01,4,7501088507755,585
00071_01,1,7501384504403,5431114
02648_01,1,7503001007649,LG1509
02961_01,1,7501303473117,WEL5F2
00794_01,4,7501082212150,557193
00284_01,5,300093644045,AA6051
00786_01,10,3393370037415,GA3K
00171_01,1,7501050623629,4YBWF002
00171_01,1,7501050623629,4YBWF003
00388_01,1,7501072300102,5V0506
02564_05,3,7502222840202,87151
02735_01,3,7501088506871,1.40E+13
01366_01,1,7501094915988,S1913
00523_01,3,7501037950519,556647
01003_02,3,7501070612856,058DR064
