STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00965_01,8,7501326000888,L046629
00343_01,20,7501298234809,1162200
00810_01,2,7501871720675,76704
02591_02,1,7501092793038,1121145g
02569_01,1,7502227870150,rrl092
02678_02,20,780083141455,16141464
00168_01,2,7501050615112,N160110
02608_01,20,7501836009661,16F049
00284_01,20,300093644045,AE7543
02193_01,2,7501033952784,64206MC
01490_05,10,7501537102388,5112898
01440_04,3,7501258204002,160338
00787_01,5,7501124855208,1602359B
02674_10,1,7501493867130,CLU00616
00330_01,20,7501825300946,490j
00680_01,4,7501094910457,r04646a
02680_01,3,7502227870228,3
00680_01,2,7501094910457,R04646A
02565_07,9,7501349021365,Q066363
