ID,CANTIDAD,CB,LOTE,
01033_01,3,7501094913809,H0016,
01754_01,2,7891106904353,BB10JF4,
02634_04,1,7502001162518,15051054,
02634_04,2,7502001162518,1502416,
00131_04,7,7501573900535,sd1672,
01754_01,1,7891106904353,bb10jf4,
00259_01,2,7501109900503,AC6769,
00434_01,1,7501303436501,XB30DN2A,
00055_01,10,7502211780359,R1603685,
00290_01,4,7501033953507,61006MC1,
02807_01,15,7502211784241,R1602499,
00165_01,6,7501094911126,K1198,
01436_01,4,7501326001977,M004360,
03009_01,2,7501092774730,301423,
00038_01,2,7501089800664,16010145,
01509_01,3,7503001007090,s6192,
00138_01,1,7501303443530,xb30cc7,
01852_01,4,7502009740497,160115,
00759_01,2,7501277060030,944D14,
00231_05,2,780083144296,16141039,
00231_05,2,780083144296,16141039,
00138_01,3,7501303443530,xb30cc7,
00842_01,2,7501108762942,100050,
01375_01,4,7501303451559,53241a,
00899_01,2,7703331157506,53354A,
01886_06,10,7501573905417,ld1601,
00055_01,10,7502211780359,r1603685,
02823_01,6,7502216791527,16E076,
01912_02,4,7502211780373,r1603589,
01523_01,9,7501752514218,15103,
02807_01,5,7502211784241,r1602499,
01874_01,6,7501573903260,ld1610,
02876_01,2,7502213040031,5K295,
00388_01,1,7501072300102,5V6892,
02245_01,1,7501109904440,ae3978,
01523_01,8,7501752514218,15103,
03009_01,2,7501092774730,319243,
00388_01,1,7501072300102,4V8438,
00388_01,1,7501072300102,5V7354,
