id,cantidad,codigo de barras,lote
00337_01,4,7501033920356,53204MC
00976_01,11,656599041216,151018
02853_01,34,780083141516,15340554
00810_01,10,7501871720675,75773
02968_01,2,7501088504419,CH208
01053_01,13,8430308015901,24K
00024_01,5,7503001007069,S5389
00700_01,2,780083140595,15141665
02570_05,10,785120754018,5E1405
00966_01,2,7501082212198,C284305A
00175_01,3,7501008465653,GU479HC
00177_01,2,7501573921479,SA1522
02604_01,6,7501349021259,15Y053
00099_01,2,7501349021037,I14N537
00363_01,1,7501314702657,S4F710
02775_01,2,7501836000071,15G059
00855_01,1,7501842900884,513005
02782_01,15,656599040103,151105
02782_05,4,7501493888968,ATE00814
02579_01,22,7501165006386,5MXA001
00910_01,14,7501326008402,1506145
00836_02,94,7501109904334,aa1078
00836_04,70,7841141003436,59183
02587_04,8,7501537100469,405345
00855_01,1,7501842900884,513005
02872_01,14,7501298204970,m50850
00642_01,10,780083142827,15340612
02139_01,2,7501125131011,a14j799
01304_01,18,7501092779278,11116349
02664_01,8,7503003738879,140813
01263_01,1,7501303437003,XB30C6ZA
