id,cantidad,codigo de barras,lote
00910_01,4,7501326008402,1506552
02608_01,6,7501836009661,15k049
01660_01,3,7501050613422,1501080
00045_07,3,7502247374256,L15A0044
00024_06,5,7502208892294,510451
02680_01,3,7502227870228,rfs073
00546_01,15,785120753349,5j2261
00085_01,6,7503001007298,C4503
01820_01,2,7501070903572,s1510721
02579_01,4,7501165006386,5MXA010
02579_01,1,7501165006386,5MXA009
01552_01,7,3499320001946,5074118
00624_01,10,3499320001359,5058103
01730_01,5,7501314703227,s5f070
02630_01,2,7501573900405,sg1521
00294_01,5,785118752590,5c684
00938_01,5,7501298234700,M5122
02630_01,11,7501573900405,sk1549
01075_01,10,7501092773511,11147337
00719_01,5,7501559604259,w42831
00377_01,7,7501258205092,152283
00284_01,3,300093644045,aa6051
02623_06,4,7502009740466,153126
01897_13,6,7501125167232,u15u119
00515_01,22,7501573900283,sf1549
00628_11,2,7502216790179,15A159
00371_01,9,785118752866,5j2224
02876_01,1,7502213040031,5h220
,,,
,,,
