id,cantidad,codigo de barras,lote
00276_01,6,7501050611404,4ASEC002
02367_01,8,7501384503215,980814
00592_03,2,7501384503048,8461214
02468_01,5,3393370037385,F3662
02967_01,1,7503007822635,DP52092
00427_01,4,7501082208344,c318150h
00421_01,5,7501082208160,C331133G
01211_01,4,7503007822154,ESP6P133
00419_01,6,7501082208702,554821
02639_01,3,7501125102806,so24351
02726_01,16,7503000997927,15022015
00709_01,2,7502213142131,5358140705
00111_01,1,7501089804099,14050036
00694_01,10,7501300408204,409710
02945_06,1,7502208892287,412649
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
