id,cantidad,codigo de barras,lote,
02807_01,3,7502211784241,R1507290,
02801_01,15,7502216792197,15A246,
02682_03,7,7502215781420,NF074H15,
03014_01,2,7502005861028,145003,
01479_01,18,7501349018273,u15j054,
02611_01,6,7502211784180,R1505015,
01479_01,5,7501349018273,U15J054,
